opportunity_id,primary_savings_model_id,secondary_savings_model_ids,value_roles,business_relevance,affected_bill_types,required_bill_fields,optional_bill_fields,required_non_bill_inputs,incentive_value_method,project_cost_estimation_method,calculation_readiness,confidence,manual_review_required
"SOURCE_DSIRE:dsire_program_id:2734","hvac_electric_efficiency","project_cost_reduction_only","bill_savings|upfront_cost_reduction","residential_only","electric|none","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|peak_kw|demand_charges|rate_schedule|contractor_quote_amount|quote_date","equipment_category|square_footage","per_unit","cost_per_unit","needs_bill","low","true"
"SOURCE_DSIRE:dsire_program_id:184","sales_or_property_tax_exemption","electric_usage_reduction|battery_tou_demand_savings","bill_savings|tax_benefit","residential_only","none|electric","project_cost_estimate","ownership_status|tax_entity_type|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges|annual_kwh|monthly_peak_kw","equipment_category","tax_exemption","benchmark_range","needs_tax_review","low","true"
"SOURCE_DSIRE:dsire_program_id:22547","ev_charging_site_load","project_cost_reduction_only","bill_savings|upfront_cost_reduction","residential_only","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount|quote_date","parking_spaces|ownership_status|equipment_category","per_unit","cost_per_unit","needs_quote","low","true"
"SOURCE_DSIRE:dsire_program_id:3476","tax_benefit_project_cost_reduction","electric_usage_reduction|hvac_electric_efficiency|gas_usage_reduction|motor_vfd_efficiency|controls_building_automation|battery_tou_demand_savings","bill_savings|tax_benefit","residential_only","none|electric|gas","project_cost_estimate|tax_entity_type","ownership_status|tax_appetite_unknown|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges|peak_kw|demand_charges|monthly_therms|gas_rate_schedule|demand_charge_rate|annual_therms|time_of_use_periods|annual_kwh|monthly_peak_kw","equipment_category","tax_credit","benchmark_range","needs_tax_review","low","true"
"SOURCE_DSIRE:dsire_program_id:22246","tax_benefit_project_cost_reduction","electric_usage_reduction","bill_savings|tax_benefit","business_relevant","none|electric","project_cost_estimate|tax_entity_type","ownership_status|tax_appetite_unknown|contractor_quote_amount|monthly_kwh|rate_schedule|delivery_charges|generation_charges","equipment_category","tax_credit","benchmark_range","needs_tax_review","medium","true"
"SOURCE_DSIRE:dsire_program_id:2031","financing_cash_flow","hvac_electric_efficiency|gas_usage_reduction|motor_vfd_efficiency","bill_savings|financing","residential_only","none|electric|gas","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|peak_kw|demand_charges|rate_schedule|monthly_therms|gas_rate_schedule|demand_charge_rate","equipment_category","financing","contractor_quote_required","needs_quote","low","true"
"SOURCE_DSIRE:dsire_program_id:22762","net_metering_or_export_value","solar_electric_offset","bill_savings|policy_or_permitting","mixed","electric","annual_kwh|monthly_kwh|rate_schedule","time_of_use_periods|generation_charges|delivery_charges|demand_charges","equipment_category|roof_area","unknown","unknown","policy_only","low","true"
"SOURCE_DSIRE:dsire_program_id:4575","motor_vfd_efficiency","","bill_savings|upfront_cost_reduction","mixed","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","peak_kw|demand_charge_rate|monthly_kwh","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:5321","pace_or_on_bill_financing","","financing","mixed","none","project_cost_estimate|financing_term_years|interest_rate","ownership_status|down_payment|annual_electric_cost|annual_gas_cost","ownership_status","financing","contractor_quote_required","needs_quote","high","true"
"SOURCE_DSIRE:dsire_program_id:2862","ev_charging_site_load","project_cost_reduction_only","bill_savings|upfront_cost_reduction","business_relevant","electric|none","rate_schedule|annual_kwh|average_cost_per_kwh","peak_kw|demand_charge_rate|time_of_use_periods|contractor_quote_amount|quote_date","parking_spaces|ownership_status|equipment_category","per_unit","cost_per_unit","needs_quote","medium","true"
